model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 28, 'accuracy': 0.7849462365591398}",0.0907187461853027,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 9, 'accuracy': 0.7903225806451613}",0.0527069568634033,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 6, 'accuracy': 0.8333333333333334}",0.0327041149139404,0.8333333333333334
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 29, 'accuracy': 0.7849462365591398}",0.0323479175567626,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'accuracy': 0.7903225806451613}",0.021998643875122,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 31, 'accuracy': 0.7956989247311828}",0.0867059230804443,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 12, 'accuracy': 0.7903225806451613}",0.0310020446777343,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 48, 'accuracy': 0.7956989247311828}",0.0319795608520507,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 4, 'accuracy': 0.8387096774193549}",0.08512544631958,0.8387096774193549
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 20, 'accuracy': 0.7688172043010753}",0.0384399890899658,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 40, 'accuracy': 0.7688172043010753}",0.0504348278045654,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 58, 'accuracy': 0.8064516129032258}",0.0324358940124511,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 8, 'accuracy': 0.8118279569892473}",0.0474519729614257,0.8118279569892473
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 21, 'accuracy': 0.7956989247311828}",0.0328636169433593,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 22, 'accuracy': 0.7903225806451613}",0.0184235572814941,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 53, 'accuracy': 0.7795698924731183}",0.0164535045623779,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 6, 'accuracy': 0.8440860215053764}",0.0822124481201171,0.8440860215053764
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 34, 'accuracy': 0.7580645161290323}",0.0468606948852539,0.7580645161290323
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 59, 'accuracy': 0.7903225806451613}",0.0149989128112792,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'accuracy': 0.7849462365591398}",0.1375694274902343,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 44, 'accuracy': 0.7903225806451613}",0.0454456806182861,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 47, 'accuracy': 0.7795698924731183}",0.0374228954315185,0.7795698924731183
